Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,pIC50,MW,LogP,NumHDonors,NumHAcceptors
0,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,6.0,290.32300000000004,1.2575999999999998,2,7
1,CHEMBL61708,Nc1nc(O)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1,intermediate,5.638272163982407,428.40500000000014,0.9055999999999989,7,8
2,CHEMBL225072,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,intermediate,5.638272163982407,427.41700000000014,0.6664000000000003,6,6
3,CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,intermediate,5.7447274948966935,369.4250000000001,2.740520000000001,3,8
4,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,intermediate,5.356547323513812,454.44700000000023,0.2684000000000012,5,10
5,CHEMBL108006,Nc1nc(N)c2c3c(sc2n1)CCCCCC3,intermediate,5.187086643357144,248.3549999999999,2.5147000000000013,2,5
6,CHEMBL107167,Cc1c(-c2ccc(Cl)c(Cl)c2)sc2nc(N)nc(N)c12,inactive,4.795880017344075,325.2240000000001,4.13792,2,5
7,CHEMBL107167,Cc1c(-c2ccc(Cl)c(Cl)c2)sc2nc(N)nc(N)c12,inactive,4.552841968657781,325.2240000000001,4.13792,2,5
8,CHEMBL320811,Cc1c(Cc2ccccc2)sc2nc(N)nc(N)c12,inactive,4.455931955649724,270.361,2.75492,2,5
9,CHEMBL320811,Cc1c(Cc2ccccc2)sc2nc(N)nc(N)c12,intermediate,5.187086643357144,270.361,2.75492,2,5
10,CHEMBL326200,COc1cc(-c2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,intermediate,5.096910013008056,346.4120000000001,2.8569200000000006,2,8
11,CHEMBL326200,COc1cc(-c2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,active,6.494850021680094,346.4120000000001,2.8569200000000006,2,8
12,CHEMBL321826,Cc1sc2nc(N)nc(N)c2c1Cc1ccccc1,inactive,4.0,270.361,2.754920000000001,2,5
13,CHEMBL321826,Cc1sc2nc(N)nc(N)c2c1Cc1ccccc1,inactive,4.0,270.361,2.754920000000001,2,5
14,CHEMBL104555,Cc1c(-c2ccccc2)sc2nc(N)nc(N)c12,inactive,4.585026652029182,256.33399999999995,2.83112,2,5
15,CHEMBL104555,Cc1c(-c2ccccc2)sc2nc(N)nc(N)c12,intermediate,5.4089353929735005,256.33399999999995,2.83112,2,5
16,CHEMBL107023,COc1ccc(OC)c(CCc2csc3nc(N)nc(N)c23)c1,inactive,4.552841968657781,330.41300000000007,2.6581,2,7
17,CHEMBL107023,COc1ccc(OC)c(CCc2csc3nc(N)nc(N)c23)c1,intermediate,5.236572006437063,330.41300000000007,2.6581,2,7
18,CHEMBL323155,Nc1nc(N)c2c3c(sc2n1)CCCC3,intermediate,5.6777807052660805,220.30099999999993,1.7345000000000002,2,5
19,CHEMBL323155,Nc1nc(N)c2c3c(sc2n1)CCCC3,intermediate,5.552841968657781,220.30099999999993,1.7345000000000002,2,5
20,CHEMBL104787,COc1ccc(OC)c(Cc2sc3nc(N)nc(N)c3c2C)c1,inactive,4.853871964321762,330.41300000000007,2.772120000000001,2,7
21,CHEMBL104787,COc1ccc(OC)c(Cc2sc3nc(N)nc(N)c3c2C)c1,active,7.154901959985743,330.41300000000007,2.772120000000001,2,7
22,CHEMBL325333,Nc1nc(N)c2c3c(sc2n1)CCCCC3,intermediate,5.853871964321762,234.32799999999992,2.1246,2,5
23,CHEMBL325333,Nc1nc(N)c2c3c(sc2n1)CCCCC3,active,6.0655015487564325,234.32799999999992,2.1246,2,5
24,CHEMBL7492,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,active,7.42021640338319,325.37200000000007,2.10562,2,7
25,CHEMBL7492,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,active,7.958607314841775,325.37200000000007,2.10562,2,7
26,CHEMBL104379,COc1ccc(OC)c(CCCc2csc3nc(N)nc(N)c23)c1,inactive,4.259637310505756,344.44000000000005,3.0481999999999996,2,7
27,CHEMBL104379,COc1ccc(OC)c(CCCc2csc3nc(N)nc(N)c23)c1,inactive,4.619788758288394,344.44000000000005,3.0481999999999996,2,7
28,CHEMBL323960,COc1ccc(OC)c(-c2sc3nc(N)nc(N)c3c2C)c1,intermediate,5.318758762624412,316.3860000000001,2.84832,2,7
