action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,82553,[],CHEMBL666737,Inhibitory activity against recombinant Escherichia coli dihydrofolate reductase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,,CHEMBL1134503,J Med Chem,2001,"{'bei': '20.67', 'le': '0.39', 'lle': '4.74', 'sei': '5.69'}",CHEMBL22,TRIMETHOPRIM,CHEMBL22,6.00,0,http://www.openphacts.org/units/Nanomolar,105553,=,1,1,=,,IC50,nM,,1000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,1.0
,,83621,[],CHEMBL666737,Inhibitory activity against recombinant Escherichia coli dihydrofolate reductase,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(O)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1,,,CHEMBL1134503,J Med Chem,2001,"{'bei': '13.16', 'le': '0.25', 'lle': '4.73', 'sei': '2.77'}",CHEMBL61708,,CHEMBL61708,5.64,0,http://www.openphacts.org/units/Nanomolar,105563,=,1,1,=,,IC50,nM,,2300.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,2.3
,,87715,[],CHEMBL666737,Inhibitory activity against recombinant Escherichia coli dihydrofolate reductase,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,Potential transcription error,"Values appear to be an order of magnitude different from previously reported, so units may be incorrect",CHEMBL1134503,J Med Chem,2001,,CHEMBL225072,PEMETREXED,CHEMBL225072,5.64,1,http://www.openphacts.org/units/Nanomolar,105562,=,1,1,=,,IC50,nM,,2300.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,2.3
,,94611,[],CHEMBL666737,Inhibitory activity against recombinant Escherichia coli dihydrofolate reductase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,,CHEMBL1134503,J Med Chem,2001,"{'bei': '15.55', 'le': '0.29', 'lle': '3.00', 'sei': '4.89'}",CHEMBL119,TRIMETREXATE,CHEMBL119,5.75,0,http://www.openphacts.org/units/Nanomolar,105561,=,1,1,=,,IC50,nM,,1800.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,1.8
,,101648,[],CHEMBL666737,Inhibitory activity against recombinant Escherichia coli dihydrofolate reductase,B,,,BAO_0000190,BAO_0000357,single protein format,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,Potential transcription error,"Values appear to be an order of magnitude different from previously reported, so units may be incorrect",CHEMBL1134503,J Med Chem,2001,,CHEMBL34259,METHOTREXATE,CHEMBL34259,5.36,1,http://www.openphacts.org/units/Nanomolar,105555,=,1,1,=,,IC50,nM,,4400.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,4.4
,,187073,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(N)c2c3c(sc2n1)CCCCCC3,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '20.89', 'le': '0.42', 'lle': '2.68', 'sei': '6.67'}",CHEMBL108006,,CHEMBL108006,5.19,0,http://www.openphacts.org/units/Nanomolar,197533,=,1,1,=,,IC50,nM,,6500.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,6.5
,,192023,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(-c2ccc(Cl)c(Cl)c2)sc2nc(N)nc(N)c12,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '14.75', 'le': '0.33', 'lle': '0.66', 'sei': '6.16'}",CHEMBL107167,,CHEMBL107167,4.80,0,http://www.openphacts.org/units/Nanomolar,197539,=,1,1,=,,IC50,nM,,16000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,16.0
,,192024,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(-c2ccc(Cl)c(Cl)c2)sc2nc(N)nc(N)c12,,,CHEMBL1126852,J Med Chem,1993,,CHEMBL107167,,CHEMBL107167,,0,http://www.openphacts.org/units/Nanomolar,197539,>,1,1,>,,IC50,nM,,28000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,28.0
,,192028,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(Cc2ccccc2)sc2nc(N)nc(N)c12,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '16.48', 'le': '0.32', 'lle': '1.71', 'sei': '5.73'}",CHEMBL320811,,CHEMBL320811,4.46,0,http://www.openphacts.org/units/Nanomolar,197538,=,1,1,=,,IC50,nM,,35000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,35.0
,,192029,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(Cc2ccccc2)sc2nc(N)nc(N)c12,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '19.19', 'le': '0.37', 'lle': '2.44', 'sei': '6.67'}",CHEMBL320811,,CHEMBL320811,5.19,0,http://www.openphacts.org/units/Nanomolar,197538,=,1,1,=,,IC50,nM,,6500.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,6.5
,,193169,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,,CHEMBL1126852,J Med Chem,1993,,CHEMBL326200,,CHEMBL326200,,0,http://www.openphacts.org/units/Nanomolar,197528,>,1,1,>,,IC50,nM,,8000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,8.0
,,193170,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '18.75', 'le': '0.37', 'lle': '3.63', 'sei': '6.16'}",CHEMBL326200,,CHEMBL326200,6.50,0,http://www.openphacts.org/units/Nanomolar,197528,=,1,1,=,,IC50,nM,,320.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,0.32
,,200190,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1sc2nc(N)nc(N)c2c1Cc1ccccc1,,,CHEMBL1126852,J Med Chem,1993,,CHEMBL321826,,CHEMBL321826,,0,http://www.openphacts.org/units/Nanomolar,197536,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,100.0
,,200191,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1sc2nc(N)nc(N)c2c1Cc1ccccc1,,,CHEMBL1126852,J Med Chem,1993,,CHEMBL321826,,CHEMBL321826,,0,http://www.openphacts.org/units/Nanomolar,197536,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,100.0
,,200195,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(-c2ccccc2)sc2nc(N)nc(N)c12,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '17.89', 'le': '0.35', 'lle': '1.76', 'sei': '5.89'}",CHEMBL104555,,CHEMBL104555,4.58,0,http://www.openphacts.org/units/Nanomolar,197542,=,1,1,=,,IC50,nM,,26000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,26.0
,,200196,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(-c2ccccc2)sc2nc(N)nc(N)c12,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '21.10', 'le': '0.41', 'lle': '2.58', 'sei': '6.95'}",CHEMBL104555,,CHEMBL104555,5.41,0,http://www.openphacts.org/units/Nanomolar,197542,=,1,1,=,,IC50,nM,,3900.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,3.9
,,207418,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(CCc2csc3nc(N)nc(N)c23)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '13.78', 'le': '0.27', 'lle': '1.89', 'sei': '4.73'}",CHEMBL107023,,CHEMBL107023,4.55,0,http://www.openphacts.org/units/Nanomolar,197543,=,1,1,=,,IC50,nM,,28000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,28.0
,,207419,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(CCc2csc3nc(N)nc(N)c23)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '15.85', 'le': '0.31', 'lle': '2.58', 'sei': '5.44'}",CHEMBL107023,,CHEMBL107023,5.24,0,http://www.openphacts.org/units/Nanomolar,197543,=,1,1,=,,IC50,nM,,5800.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,5.8
,,207421,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(N)c2c3c(sc2n1)CCCC3,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '25.77', 'le': '0.52', 'lle': '3.95', 'sei': '7.30'}",CHEMBL323155,,CHEMBL323155,5.68,0,http://www.openphacts.org/units/Nanomolar,197535,=,1,1,=,,IC50,nM,,2100.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,2.1
,,207422,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(N)c2c3c(sc2n1)CCCC3,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '25.21', 'le': '0.51', 'lle': '3.82', 'sei': '7.14'}",CHEMBL323155,,CHEMBL323155,5.55,0,http://www.openphacts.org/units/Nanomolar,197535,=,1,1,=,,IC50,nM,,2800.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,2.8
,,209782,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(Cc2sc3nc(N)nc(N)c3c2C)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '14.69', 'le': '0.29', 'lle': '2.08', 'sei': '5.04'}",CHEMBL104787,,CHEMBL104787,4.85,0,http://www.openphacts.org/units/Nanomolar,197546,=,1,1,=,,IC50,nM,,14000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,14.0
,,209783,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(Cc2sc3nc(N)nc(N)c3c2C)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '21.65', 'le': '0.42', 'lle': '4.38', 'sei': '7.43'}",CHEMBL104787,,CHEMBL104787,7.16,0,http://www.openphacts.org/units/Nanomolar,197546,=,1,1,=,,IC50,nM,,70.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,0.07
,,210871,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(N)c2c3c(sc2n1)CCCCC3,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '24.98', 'le': '0.50', 'lle': '3.73', 'sei': '7.52'}",CHEMBL325333,,CHEMBL325333,5.85,0,http://www.openphacts.org/units/Nanomolar,197534,=,1,1,=,,IC50,nM,,1400.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,1.4
,,210872,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(N)c2c3c(sc2n1)CCCCC3,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '25.88', 'le': '0.52', 'lle': '3.95', 'sei': '7.79'}",CHEMBL325333,,CHEMBL325333,6.07,0,http://www.openphacts.org/units/Nanomolar,197534,=,1,1,=,,IC50,nM,,860.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,0.86
,,210877,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '22.81', 'le': '0.42', 'lle': '5.31', 'sei': '6.80'}",CHEMBL7492,PIRITREXIM,CHEMBL7492,7.42,0,http://www.openphacts.org/units/Nanomolar,197540,=,1,1,=,,IC50,nM,,38.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,0.038
